Electoral district number,Electoral district name,Type of results,Surname,Middle name(s) ,Given name,Political affiliation,Appartenance politique,Votes obtained,% Votes obtained,Rejected ballots,Total number of ballots cast
12002,Central Nova,validated,Muir,,Al,People's Party,Parti populaire,938,2.1,412,44882
12002,Central Nova,validated,Randle,,Barry,Green Party,Parti Vert,3478,7.8,412,44882
12002,Central Nova,validated,Slowik,,Michael,Independent,Indépendant(e),149,.3,412,44882
12003,Cumberland--Colchester,preliminary,Archer,,William,People's Party,Parti populaire,608,1.3,0,45450
12003,Cumberland--Colchester,preliminary,Armstrong,,Scott,Conservative,Conservateur,16219,35.7,0,45450
12003,Cumberland--Colchester,preliminary,Blanch,,Jason,Green Party,Parti Vert,6015,13.2,0,45450
12003,Cumberland--Colchester,preliminary,Duchesne,,Larry,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5451,12,0,45450
12003,Cumberland--Colchester,preliminary,Garvey,,Stephen J,National Citizens Alliance,Alliance Nationale Citoyens,109,.2,0,45450
12003,Cumberland--Colchester,preliminary,O'Blenis,,Jody,VCP,CAC,144,.3,0,45450
12003,Cumberland--Colchester,preliminary,Rushton,,Matthew V.,Independent,Indépendant(e),232,.5,0,45450
12003,Cumberland--Colchester,preliminary,Zann,,Lenore,Liberal,Libéral,16672,36.7,0,45450
12003,Cumberland--Colchester,validated,Archer,,William,People's Party,Parti populaire,608,1.3,447,45897
12003,Cumberland--Colchester,validated,Armstrong,,Scott,Conservative,Conservateur,16219,35.7,447,45897
12003,Cumberland--Colchester,validated,Blanch,,Jason,Green Party,Parti Vert,6015,13.2,447,45897
12003,Cumberland--Colchester,validated,Duchesne,,Larry,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5451,12,447,45897
12003,Cumberland--Colchester,validated,Garvey,,Stephen J,National Citizens Alliance,Alliance Nationale Citoyens,109,.2,447,45897
12003,Cumberland--Colchester,validated,O'Blenis,,Jody,VCP,CAC,144,.3,447,45897
12003,Cumberland--Colchester,validated,Rushton,,Matthew V.,Independent,Indépendant(e),232,.5,447,45897
12003,Cumberland--Colchester,validated,Zann,,Lenore,Liberal,Libéral,16672,36.7,447,45897
12004,Dartmouth--Cole Harbour,preliminary,Cole,,Jason,Conservative,Conservateur,8480,16.1,0,52585
12004,Dartmouth--Cole Harbour,preliminary,Fisher,,Darren,Liberal,Libéral,23751,45.2,0,52585
12004,Dartmouth--Cole Harbour,preliminary,Lindsay,,Michelle,People's Party,Parti populaire,937,1.8,0,52585
12004,Dartmouth--Cole Harbour,preliminary,MacPherson,,Lil,Green Party,Parti Vert,5197,9.9,0,52585
