Electoral district number,Electoral district name,Type of results,Surname,Middle name(s) ,Given name,Political affiliation,Appartenance politique,Votes obtained,% Votes obtained,Rejected ballots,Total number of ballots cast
35053,London West,preliminary,Snelgrove,,Liz,Conservative,Conservateur,19718,28.1,0,70234
35053,London West,preliminary,Young,,Kate,Liberal,Libéral,30054,42.8,0,70234
35053,London West,validated,Boudreau,,Jacques,Libertarian,Libertarien,523,.7,496,71769
35053,London West,validated,Hodge,,Mary Ann,Green Party,Parti Vert,3827,5.4,496,71769
35053,London West,validated,Lewkowitz,,Shawna,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,15220,21.4,496,71769
35053,London West,validated,Mcmullen,,Mike,People's Party,Parti populaire,1171,1.6,496,71769
35053,London West,validated,Snelgrove,,Liz,Conservative,Conservateur,19910,27.9,496,71769
35053,London West,validated,Young,,Kate,Liberal,Libéral,30622,43,496,71769
35054,Markham--Stouffville,preliminary,Antony,,Theodore,Conservative,Conservateur,19570,30.7,0,63654
35054,Markham--Stouffville,preliminary,Berman,,Hal,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4013,6.3,0,63654
35054,Markham--Stouffville,preliminary,Jaczek,,Helena,Liberal,Libéral,24743,38.9,0,63654
35054,Markham--Stouffville,preliminary,Lin,,Jeremy,People's Party,Parti populaire,531,.8,0,63654
35054,Markham--Stouffville,preliminary,Long,,Roy,Green Party,Parti Vert,1581,2.5,0,63654
35054,Markham--Stouffville,preliminary,Philpott,,Jane,Independent,Indépendant(e),13216,20.8,0,63654
35054,Markham--Stouffville,validated,Antony,,Theodore,Conservative,Conservateur,19703,30.6,623,65011
35054,Markham--Stouffville,validated,Berman,,Hal,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4132,6.4,623,65011
35054,Markham--Stouffville,validated,Jaczek,,Helena,Liberal,Libéral,25055,38.9,623,65011
35054,Markham--Stouffville,validated,Lin,,Jeremy,People's Party,Parti populaire,537,.8,623,65011
35054,Markham--Stouffville,validated,Long,,Roy,Green Party,Parti Vert,1621,2.5,623,65011
35054,Markham--Stouffville,validated,Philpott,,Jane,Independent,Indépendant(e),13340,20.7,623,65011
35055,Markham--Thornhill,preliminary,Macwan,,Josephbai,Independent,Indépendant(e),281,.6,0,44330
35055,Markham--Thornhill,preliminary,Ng,,Mary,Liberal,Libéral,23826,53.7,0,44330
35055,Markham--Thornhill,preliminary,Remedios,,Peter,People's Party,Parti populaire,356,.8,0,44330
35055,Markham--Thornhill,preliminary,Sahbaz,,Paul,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3248,7.3,0,44330
35055,Markham--Thornhill,preliminary,Williams,,Chris,Green Party,Parti Vert,1218,2.7,0,44330
35055,Markham--Thornhill,preliminary,Yuan,,Alex,Conservative,Conservateur,15401,34.7,0,44330
35055,Markham--Thornhill,validated,Macwan,,Josephbai,Independent,Indépendant(e),277,.6,445,45195
35055,Markham--Thornhill,validated,Ng,,Mary,Liberal,Libéral,24124,53.9,445,45195
35055,Markham--Thornhill,validated,Remedios,,Peter,People's Party,Parti populaire,358,.8,445,45195
35055,Markham--Thornhill,validated,Sahbaz,,Paul,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3264,7.3,445,45195
35055,Markham--Thornhill,validated,Williams,,Chris,Green Party,Parti Vert,1253,2.8,445,45195
35055,Markham--Thornhill,validated,Yuan,,Alex,Conservative,Conservateur,15474,34.6,445,45195
35056,Markham--Unionville,preliminary,Chung,,Sarah,People's Party,Parti populaire,863,1.6,0,52464
35056,Markham--Unionville,preliminary,Hines,,Gregory,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3393,6.5,0,52464
35056,Markham--Unionville,preliminary,Ho,,Alan,Liberal,Libéral,20019,38.2,0,52464
35056,Markham--Unionville,preliminary,Kao,,Elvin,Green Party,Parti Vert,2318,4.4,0,52464
35056,Markham--Unionville,preliminary,Saroya,,Bob,Conservative,Conservateur,25871,49.3,0,52464
35056,Markham--Unionville,validated,Chung,,Sarah,People's Party,Parti populaire,861,1.6,523,53919
35056,Markham--Unionville,validated,Hines,,Gregory,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3524,6.6,523,53919
35056,Markham--Unionville,validated,Ho,,Alan,Liberal,Libéral,20484,38.4,523,53919
35056,Markham--Unionville,validated,Kao,,Elvin,Green Party,Parti Vert,2394,4.5,523,53919
35056,Markham--Unionville,validated,Saroya,,Bob,Conservative,Conservateur,26133,48.9,523,53919
35057,Milton,preliminary,Dastur,,Percy,People's Party,Parti populaire,610,1,0,59005
35057,Milton,preliminary,Hassan,,Farina,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3761,6.4,0,59005
35057,Milton,preliminary,Hayward,,Eleanor,Green Party,Parti Vert,2713,4.6,0,59005
35057,Milton,preliminary,Raitt,,Lisa,Conservative,Conservateur,21454,36.4,0,59005
35057,Milton,preliminary,van Koeverden,,Adam,Liberal,Libéral,30467,51.6,0,59005
35057,Milton,validated,Dastur,,Percy,People's Party,Parti populaire,613,1,379,60058
35057,Milton,validated,Hassan,,Farina,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3851,6.5,379,60058
35057,Milton,validated,Hayward,,Eleanor,Green Party,Parti Vert,2769,4.6,379,60058
35057,Milton,validated,Raitt,,Lisa,Conservative,Conservateur,21564,36.1,379,60058
35057,Milton,validated,van Koeverden,,Adam,Liberal,Libéral,30882,51.7,379,60058
35058,Mississauga Centre,preliminary,Alghabra,,Omar,Liberal,Libéral,29472,55.7,0,52948
35058,Mississauga Centre,preliminary,Micalef,,David,People's Party,Parti populaire,825,1.6,0,52948
35058,Mississauga Centre,preliminary,Mikael,,Milad,Conservative,Conservateur,15758,29.8,0,52948
35058,Mississauga Centre,preliminary,Reinoso,,Hugo,Green Party,Parti Vert,1617,3.1,0,52948
35058,Mississauga Centre,preliminary,Vezina,,Greg,Independent,Indépendant(e),251,.5,0,52948
35058,Mississauga Centre,preliminary,Walji,,Sarah,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5025,9.5,0,52948
35058,Mississauga Centre,validated,Alghabra,,Omar,Liberal,Libéral,29974,55.8,475,54231
35058,Mississauga Centre,validated,Micalef,,David,People's Party,Parti populaire,837,1.6,475,54231
35058,Mississauga Centre,validated,Mikael,,Milad,Conservative,Conservateur,15874,29.5,475,54231
35058,Mississauga Centre,validated,Reinoso,,Hugo,Green Party,Parti Vert,1646,3.1,475,54231
35058,Mississauga Centre,validated,Vezina,,Greg,Independent,Indépendant(e),252,.5,475,54231
35058,Mississauga Centre,validated,Walji,,Sarah,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5173,9.6,475,54231
35059,Mississauga East--Cooksville,preliminary,Di Carlo,,Anna,ML,ML,178,.3,0,51079
35059,Mississauga East--Cooksville,preliminary,Fonseca,,Peter,Liberal,Libéral,27058,53,0,51079
35059,Mississauga East--Cooksville,preliminary,Lizon,,Wladyslaw,Conservative,Conservateur,17237,33.7,0,51079
35059,Mississauga East--Cooksville,preliminary,Rasheed,,Maha,Green Party,Parti Vert,1530,3,0,51079
35059,Mississauga East--Cooksville,preliminary,Rizvi,,Syed,People's Party,Parti populaire,624,1.2,0,51079
35059,Mississauga East--Cooksville,preliminary,Takacs,,Tom,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4452,8.7,0,51079
35059,Mississauga East--Cooksville,validated,Di Carlo,,Anna,ML,ML,178,.3,483,53106
35059,Mississauga East--Cooksville,validated,Fonseca,,Peter,Liberal,Libéral,27923,53.1,483,53106
35059,Mississauga East--Cooksville,validated,Lizon,,Wladyslaw,Conservative,Conservateur,17664,33.6,483,53106
35059,Mississauga East--Cooksville,validated,Rasheed,,Maha,Green Party,Parti Vert,1578,3,483,53106
35059,Mississauga East--Cooksville,validated,Rizvi,,Syed,People's Party,Parti populaire,637,1.2,483,53106
35059,Mississauga East--Cooksville,validated,Takacs,,Tom,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4643,8.8,483,53106
35060,Mississauga--Erin Mills,preliminary,Alsabagh,,Hazar,People's Party,Parti populaire,650,1.1,0,57954
35060,Mississauga--Erin Mills,preliminary,Boscarino-Gaetano,,Remo,Green Party,Parti Vert,2156,3.7,0,57954
35060,Mississauga--Erin Mills,preliminary,Khalid,,Iqra,Liberal,Libéral,30894,53.3,0,57954
35060,Mississauga--Erin Mills,preliminary,Tariq,,Salman,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5149,8.9,0,57954
35060,Mississauga--Erin Mills,preliminary,Tawfilis,,Hani,Conservative,Conservateur,19105,33,0,57954
35060,Mississauga--Erin Mills,validated,Alsabagh,,Hazar,People's Party,Parti populaire,648,1.1,637,58899
35060,Mississauga--Erin Mills,validated,Boscarino-Gaetano,,Remo,Green Party,Parti Vert,2147,3.7,637,58899
35060,Mississauga--Erin Mills,validated,Khalid,,Iqra,Liberal,Libéral,31181,53.5,637,58899
35060,Mississauga--Erin Mills,validated,Tariq,,Salman,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5236,9,637,58899
35060,Mississauga--Erin Mills,validated,Tawfilis,,Hani,Conservative,Conservateur,19050,32.7,637,58899
35061,Mississauga--Lakeshore,preliminary,Ambler,,Stella,Conservative,Conservateur,22573,37.5,0,60129
35061,Mississauga--Lakeshore,preliminary,Darby,,Carlton,UPC,UPC,96,.2,0,60129
35061,Mississauga--Lakeshore,preliminary,Laughton,,Adam,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4979,8.3,0,60129
35061,Mississauga--Lakeshore,preliminary,Spengemann,,Sven,Liberal,Libéral,28994,48.2,0,60129
35061,Mississauga--Lakeshore,preliminary,Trentelman,,Cynthia,Green Party,Parti Vert,2756,4.6,0,60129
35061,Mississauga--Lakeshore,preliminary,Vizitiu,,Eugen,People's Party,Parti populaire,731,1.2,0,60129
35061,Mississauga--Lakeshore,validated,Ambler,,Stella,Conservative,Conservateur,22740,37.3,407,61406
35061,Mississauga--Lakeshore,validated,Darby,,Carlton,UPC,UPC,99,.2,407,61406
35061,Mississauga--Lakeshore,validated,Laughton,,Adam,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5103,8.4,407,61406
35061,Mississauga--Lakeshore,validated,Spengemann,,Sven,Liberal,Libéral,29526,48.4,407,61406
35061,Mississauga--Lakeshore,validated,Trentelman,,Cynthia,Green Party,Parti Vert,2814,4.6,407,61406
35061,Mississauga--Lakeshore,validated,Vizitiu,,Eugen,People's Party,Parti populaire,717,1.2,407,61406
35062,Mississauga--Malton,preliminary,Bains,,Navdeep,Liberal,Libéral,27501,57.4,0,47893
35062,Mississauga--Malton,preliminary,Buchanan,,Prudence,UPC,UPC,320,.7,0,47893
35062,Mississauga--Malton,preliminary,Chilelli,,Frank,ML,ML,89,.2,0,47893
35062,Mississauga--Malton,preliminary,Clarke,,Nikki,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5953,12.4,0,47893
35062,Mississauga--Malton,preliminary,Gora,,Tahir,People's Party,Parti populaire,364,.8,0,47893
35062,Mississauga--Malton,preliminary,Porter,,Christina,Green Party,Parti Vert,1218,2.5,0,47893
35062,Mississauga--Malton,preliminary,Varughese,,Tom,Conservative,Conservateur,12448,26,0,47893
35062,Mississauga--Malton,validated,Bains,,Navdeep,Liberal,Libéral,27890,57.5,500,49037
35062,Mississauga--Malton,validated,Buchanan,,Prudence,UPC,UPC,306,.6,500,49037
35062,Mississauga--Malton,validated,Chilelli,,Frank,ML,ML,90,.2,500,49037
35062,Mississauga--Malton,validated,Clarke,,Nikki,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6103,12.6,500,49037
35062,Mississauga--Malton,validated,Gora,,Tahir,People's Party,Parti populaire,369,.8,500,49037
35062,Mississauga--Malton,validated,Porter,,Christina,Green Party,Parti Vert,1251,2.6,500,49037
35062,Mississauga--Malton,validated,Varughese,,Tom,Conservative,Conservateur,12528,25.8,500,49037
35063,Mississauga--Streetsville,preliminary,Girguis,,Samir,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5955,10.3,0,57899
35063,Mississauga--Streetsville,preliminary,Hill,,Chris,Green Party,Parti Vert,2695,4.7,0,57899
35063,Mississauga--Streetsville,preliminary,McIver,,Thomas,People's Party,Parti populaire,721,1.2,0,57899
35063,Mississauga--Streetsville,preliminary,Melek,,Ghada,Conservative,Conservateur,19227,33.2,0,57899
35063,Mississauga--Streetsville,preliminary,Sikand,,Gagan,Liberal,Libéral,29058,50.2,0,57899
35063,Mississauga--Streetsville,preliminary,Spizzirri,,Natalie,Animal Protection Party,Parti Protection Animaux,243,.4,0,57899
35063,Mississauga--Streetsville,validated,Girguis,,Samir,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6036,10.3,437,59202
35063,Mississauga--Streetsville,validated,Hill,,Chris,Green Party,Parti Vert,2688,4.6,437,59202
35063,Mississauga--Streetsville,validated,McIver,,Thomas,People's Party,Parti populaire,706,1.2,437,59202
35063,Mississauga--Streetsville,validated,Melek,,Ghada,Conservative,Conservateur,19474,33.1,437,59202
35063,Mississauga--Streetsville,validated,Sikand,,Gagan,Liberal,Libéral,29618,50.4,437,59202
35063,Mississauga--Streetsville,validated,Spizzirri,,Natalie,Animal Protection Party,Parti Protection Animaux,243,.4,437,59202
35064,Nepean,preliminary,Ansari,,Zaff,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,8852,13,0,68191
35064,Nepean,preliminary,Arya,,Chandra,Liberal,Libéral,31098,45.6,0,68191
35064,Nepean,preliminary,Cooke,,Jean-Luc,Green Party,Parti Vert,4347,6.4,0,68191
35064,Nepean,preliminary,Hooda,,Azim,People's Party,Parti populaire,719,1.1,0,68191
35064,Nepean,preliminary,St. Louis,,Brian,Conservative,Conservateur,22849,33.5,0,68191
35064,Nepean,preliminary,Wang,,Dustan,Communist,Communiste,326,.5,0,68191
35064,Nepean,validated,Ansari,,Zaff,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,9104,13.1,407,69990
35064,Nepean,validated,Arya,,Chandra,Liberal,Libéral,31933,45.9,407,69990
35064,Nepean,validated,Cooke,,Jean-Luc,Green Party,Parti Vert,4379,6.3,407,69990
35064,Nepean,validated,Hooda,,Azim,People's Party,Parti populaire,687,1,407,69990
35064,Nepean,validated,St. Louis,,Brian,Conservative,Conservateur,23320,33.5,407,69990
35064,Nepean,validated,Wang,,Dustan,Communist,Communiste,160,.2,407,69990
35065,Newmarket--Aurora,preliminary,Bauer,,Walter,Green Party,Parti Vert,3437,5.7,0,60468
35065,Newmarket--Aurora,preliminary,Baxter,,Dorian,PC Party,Parti PC,898,1.5,0,60468
35065,Newmarket--Aurora,preliminary,Brown,,Lois,Conservative,Conservateur,23079,38.2,0,60468
35065,Newmarket--Aurora,preliminary,Goble,,Laurie,Parti Rhinocéros Party,Parti Rhinocéros Party,101,.2,0,60468
35065,Newmarket--Aurora,preliminary,Kelly,,Yvonne,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6418,10.6,0,60468
35065,Newmarket--Aurora,preliminary,McCaughtrie,,Andrew,People's Party,Parti populaire,578,1,0,60468
35065,Newmarket--Aurora,preliminary,Van Bynen,,Tony,Liberal,Libéral,25957,42.9,0,60468
35065,Newmarket--Aurora,validated,Bauer,,Walter,Green Party,Parti Vert,3551,5.8,424,61884
35065,Newmarket--Aurora,validated,Baxter,,Dorian,PC Party,Parti PC,901,1.5,424,61884
35065,Newmarket--Aurora,validated,Brown,,Lois,Conservative,Conservateur,23252,37.8,424,61884
35065,Newmarket--Aurora,validated,Goble,,Laurie,Parti Rhinocéros Party,Parti Rhinocéros Party,104,.2,424,61884
35065,Newmarket--Aurora,validated,Kelly,,Yvonne,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6576,10.7,424,61884
35065,Newmarket--Aurora,validated,McCaughtrie,,Andrew,People's Party,Parti populaire,588,1,424,61884
35065,Newmarket--Aurora,validated,Van Bynen,,Tony,Liberal,Libéral,26488,43.1,424,61884
35066,Niagara Centre,preliminary,Allen,,Malcolm,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,15358,26.7,0,57510
35066,Niagara Centre,preliminary,Badawey,,Vance,Liberal,Libéral,20109,35,0,57510
35066,Niagara Centre,preliminary,Bylsma,,Nic,Christian Heritage Party,Parti de l'Héritage Chrétien,306,.5,0,57510
35066,Niagara Centre,preliminary,Jeffs,,April,Conservative,Conservateur,17895,31.1,0,57510
35066,Niagara Centre,preliminary,Sainz-Nieto,,Andrew,People's Party,Parti populaire,768,1.3,0,57510
35066,Niagara Centre,preliminary,Tomaino,,Michael,Green Party,Parti Vert,2999,5.2,0,57510
35066,Niagara Centre,preliminary,Walker,,Robert,ML,ML,75,.1,0,57510
35066,Niagara Centre,validated,Allen,,Malcolm,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,15469,26.7,539,58502
35066,Niagara Centre,validated,Badawey,,Vance,Liberal,Libéral,20292,35,539,58502
35066,Niagara Centre,validated,Bylsma,,Nic,Christian Heritage Party,Parti de l'Héritage Chrétien,308,.5,539,58502
35066,Niagara Centre,validated,Jeffs,,April,Conservative,Conservateur,17987,31,539,58502
35066,Niagara Centre,validated,Sainz-Nieto,,Andrew,People's Party,Parti populaire,776,1.3,539,58502
35066,Niagara Centre,validated,Tomaino,,Michael,Green Party,Parti Vert,3054,5.3,539,58502
35066,Niagara Centre,validated,Walker,,Robert,ML,ML,77,.1,539,58502
35067,Niagara Falls,preliminary,Baldinelli,,Tony,Conservative,Conservateur,24266,35.6,0,68111
35067,Niagara Falls,preliminary,Barker,,Brian,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,12264,18,0,68111
35067,Niagara Falls,preliminary,Kaiser,,Andrea,Liberal,Libéral,22079,32.4,0,68111
35067,Niagara Falls,preliminary,O'Connor,,Sandra,Green Party,Parti Vert,3296,4.8,0,68111
35067,Niagara Falls,preliminary,O'Connor,,Tricia,Christian Heritage Party,Parti de l'Héritage Chrétien,353,.5,0,68111
35067,Niagara Falls,preliminary,Strange,,Mike,Independent,Indépendant(e),4913,7.2,0,68111
35067,Niagara Falls,preliminary,Taylor,,Alexander,People's Party,Parti populaire,940,1.4,0,68111
35067,Niagara Falls,validated,Baldinelli,,Tony,Conservative,Conservateur,24751,35.5,636,70370
35067,Niagara Falls,validated,Barker,,Brian,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,12566,18,636,70370
35067,Niagara Falls,validated,Kaiser,,Andrea,Liberal,Libéral,22690,32.5,636,70370
35067,Niagara Falls,validated,O'Connor,,Sandra,Green Party,Parti Vert,3404,4.9,636,70370
35067,Niagara Falls,validated,O'Connor,,Tricia,Christian Heritage Party,Parti de l'Héritage Chrétien,358,.5,636,70370
35067,Niagara Falls,validated,Strange,,Mike,Independent,Indépendant(e),4997,7.2,636,70370
35067,Niagara Falls,validated,Taylor,,Alexander,People's Party,Parti populaire,968,1.4,636,70370
35068,Niagara West,preliminary,Allison,,Dean,Conservative,Conservateur,23973,45.5,0,52682
35068,Niagara West,preliminary,Bingham,,Ian,Liberal,Libéral,16986,32.2,0,52682
35068,Niagara West,preliminary,Jonker,,Harold,Christian Heritage Party,Parti de l'Héritage Chrétien,993,1.9,0,52682
35068,Niagara West,preliminary,Morton,,Miles,People's Party,Parti populaire,847,1.6,0,52682
35068,Niagara West,preliminary,Rahman,,Nameer,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6388,12.1,0,52682
35068,Niagara West,preliminary,Teather,,Terry,Green Party,Parti Vert,3495,6.6,0,52682
35068,Niagara West,validated,Allison,,Dean,Conservative,Conservateur,24447,45.3,252,54176
35068,Niagara West,validated,Bingham,,Ian,Liberal,Libéral,17429,32.3,252,54176
35068,Niagara West,validated,Jonker,,Harold,Christian Heritage Party,Parti de l'Héritage Chrétien,1019,1.9,252,54176
35068,Niagara West,validated,Morton,,Miles,People's Party,Parti populaire,869,1.6,252,54176
35068,Niagara West,validated,Rahman,,Nameer,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6540,12.1,252,54176
35068,Niagara West,validated,Teather,,Terry,Green Party,Parti Vert,3620,6.7,252,54176
35069,Nickel Belt,preliminary,Laamanen,,Aino,Conservative,Conservateur,10281,21.2,0,48524
35069,Nickel Belt,preliminary,Lalonde,,Casey,Green Party,Parti Vert,2611,5.4,0,48524
35069,Nickel Belt,preliminary,Paavola,,Mikko,People's Party,Parti populaire,1150,2.4,0,48524
35069,Nickel Belt,preliminary,Paquette,,Stef,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,15564,32.1,0,48524
35069,Nickel Belt,preliminary,Serré,,Marc G,Liberal,Libéral,18918,39,0,48524
35069,Nickel Belt,validated,Laamanen,,Aino,Conservative,Conservateur,10343,21.2,298,49146
35069,Nickel Belt,validated,Lalonde,,Casey,Green Party,Parti Vert,2644,5.4,298,49146
35069,Nickel Belt,validated,Paavola,,Mikko,People's Party,Parti populaire,1159,2.4,298,49146
35069,Nickel Belt,validated,Paquette,,Stef,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,15656,32.1,298,49146
35069,Nickel Belt,validated,Serré,,Marc G,Liberal,Libéral,19046,39,298,49146
35070,Nipissing--Timiskaming,preliminary,Boulet,,Rob,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,9411,20.8,0,45173
35070,Nipissing--Timiskaming,preliminary,Carr,,Jordy,Conservative,Conservateur,12332,27.3,0,45173
35070,Nipissing--Timiskaming,preliminary,Gomm,,Alex,Green Party,Parti Vert,2926,6.5,0,45173
35070,Nipissing--Timiskaming,preliminary,King,,Mark,People's Party,Parti populaire,2403,5.3,0,45173
35070,Nipissing--Timiskaming,preliminary,Rota,,Anthony,Liberal,Libéral,18101,40.1,0,45173
35070,Nipissing--Timiskaming,validated,Boulet,,Rob,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,9784,20.5,407,48134
35070,Nipissing--Timiskaming,validated,Carr,,Jordy,Conservative,Conservateur,12984,27.2,407,48134
35070,Nipissing--Timiskaming,validated,Gomm,,Alex,Green Party,Parti Vert,3111,6.5,407,48134
35070,Nipissing--Timiskaming,validated,King,,Mark,People's Party,Parti populaire,2496,5.2,407,48134
35070,Nipissing--Timiskaming,validated,Rota,,Anthony,Liberal,Libéral,19352,40.5,407,48134
35071,Northumberland--Peterborough South,preliminary,Lawrence,,Philip,Conservative,Conservateur,27218,39.9,0,68268
35071,Northumberland--Peterborough South,preliminary,MacDonald,,Mallory,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,9482,13.9,0,68268
35071,Northumberland--Peterborough South,preliminary,Rudd,,Kim,Liberal,Libéral,24706,36.2,0,68268
35071,Northumberland--Peterborough South,preliminary,Vaughan,,Frank,People's Party,Parti populaire,1445,2.1,0,68268
35071,Northumberland--Peterborough South,preliminary,Wheeldon,,Jeff,Green Party,Parti Vert,5417,7.9,0,68268
35071,Northumberland--Peterborough South,validated,Lawrence,,Philip,Conservative,Conservateur,27385,39.7,484,69445
35071,Northumberland--Peterborough South,validated,MacDonald,,Mallory,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,9615,13.9,484,69445
35071,Northumberland--Peterborough South,validated,Rudd,,Kim,Liberal,Libéral,24977,36.2,484,69445
35071,Northumberland--Peterborough South,validated,Vaughan,,Frank,People's Party,Parti populaire,1460,2.1,484,69445
35071,Northumberland--Peterborough South,validated,Wheeldon,,Jeff,Green Party,Parti Vert,5524,8,484,69445
35072,Oakville,preliminary,Adamo,,Jerome,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4807,7.8,0,61882
35072,Oakville,preliminary,Anand,,Anita,Liberal,Libéral,28668,46.3,0,61882
35072,Oakville,preliminary,Elwick,,James,Green Party,Parti Vert,3459,5.6,0,61882
35072,Oakville,preliminary,Meaney,,JD,People's Party,Parti populaire,765,1.2,0,61882
35072,Oakville,preliminary,Pereira,,Sushila,Christian Heritage Party,Parti de l'Héritage Chrétien,137,.2,0,61882
35072,Oakville,preliminary,Young,,Terence,Conservative,Conservateur,24046,38.9,0,61882
35072,Oakville,validated,Adamo,,Jerome,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4928,7.5,487,65888
35072,Oakville,validated,Anand,,Anita,Liberal,Libéral,30265,46.3,487,65888
35072,Oakville,validated,Elwick,,James,Green Party,Parti Vert,3704,5.7,487,65888
35072,Oakville,validated,Meaney,,JD,People's Party,Parti populaire,798,1.2,487,65888
35072,Oakville,validated,Pereira,,Sushila,Christian Heritage Party,Parti de l'Héritage Chrétien,145,.2,487,65888
35072,Oakville,validated,Young,,Terence,Conservative,Conservateur,25561,39.1,487,65888
35073,Oakville North--Burlington,preliminary,Damoff,,Pam,Liberal,Libéral,32952,48.1,0,68452
35073,Oakville North--Burlington,preliminary,Dion,,Nicolas,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5691,8.3,0,68452
35073,Oakville North--Burlington,preliminary,Houghton,,Michael,Green Party,Parti Vert,2844,4.2,0,68452
35073,Oakville North--Burlington,preliminary,Jubinville,,Gilbert Joseph,People's Party,Parti populaire,736,1.1,0,68452
35073,Oakville North--Burlington,preliminary,Weir,,Sean,Conservative,Conservateur,26229,38.3,0,68452
35073,Oakville North--Burlington,validated,Damoff,,Pam,Liberal,Libéral,33597,48.3,412,70035
35073,Oakville North--Burlington,validated,Dion,,Nicolas,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5866,8.4,412,70035
35073,Oakville North--Burlington,validated,Houghton,,Michael,Green Party,Parti Vert,2925,4.2,412,70035
35073,Oakville North--Burlington,validated,Jubinville,,Gilbert Joseph,People's Party,Parti populaire,751,1.1,412,70035
35073,Oakville North--Burlington,validated,Weir,,Sean,Conservative,Conservateur,26484,38,412,70035
35074,Oshawa,preliminary,Carrie,,Colin,Conservative,Conservateur,23989,38.9,0,61614
35074,Oshawa,preliminary,Hossain,,Afroza,Liberal,Libéral,15592,25.3,0,61614
35074,Oshawa,preliminary,Mackenzie,,Eric,People's Party,Parti populaire,1276,2.1,0,61614
35074,Oshawa,preliminary,Panylo,,Shailene,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,17531,28.5,0,61614
35074,Oshawa,preliminary,Ramsden,,Jovannah,Green Party,Parti Vert,3117,5.1,0,61614
35074,Oshawa,preliminary,Tomlinson,,Jeff,Communist,Communiste,109,.2,0,61614
35074,Oshawa,validated,Carrie,,Colin,Conservative,Conservateur,24087,38.9,414,62397
35074,Oshawa,validated,Hossain,,Afroza,Liberal,Libéral,15750,25.4,414,62397
35074,Oshawa,validated,Mackenzie,,Eric,People's Party,Parti populaire,1215,2,414,62397
35074,Oshawa,validated,Panylo,,Shailene,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,17668,28.5,414,62397
35074,Oshawa,validated,Ramsden,,Jovannah,Green Party,Parti Vert,3151,5.1,414,62397
35074,Oshawa,validated,Tomlinson,,Jeff,Communist,Communiste,112,.2,414,62397
35075,Ottawa Centre,preliminary,Bertrand,,Shelby,Animal Protection Party,Parti Protection Animaux,195,.3,0,75448
35075,Ottawa Centre,preliminary,Clemenhagen,,Carol,Conservative,Conservateur,9519,12.6,0,75448
35075,Ottawa Centre,preliminary,Corcoran,,Coreen,Libertarian,Libertarien,342,.5,0,75448
35075,Ottawa Centre,preliminary,Jones,,Chris G,Independent,Indépendant(e),161,.2,0,75448
35075,Ottawa Centre,preliminary,Keller-Herzog,,Angela,Green Party,Parti Vert,5498,7.3,0,75448
35075,Ottawa Centre,preliminary,Leriche,,Marie-Chantal,Christian Heritage Party,Parti de l'Héritage Chrétien,194,.3,0,75448
35075,Ottawa Centre,preliminary,McKenna,,Catherine,Liberal,Libéral,36612,48.5,0,75448
35075,Ottawa Centre,preliminary,Ryan,,Stuart,Communist,Communiste,110,.1,0,75448
